post_id,post_date,post_type,caption,hashtags,hashtag_count,reach,impressions,likes,comments,shares,saves,follows_gained,total_engagement,engagement_rate,day_of_week,hour,month,year,time_bucket
IG0001,2025-10-16 03:01:00,Reel,Why fitness matters more than you think.,#explorepage #instagood #lifestyle #fitness,4,3160,3722,167,8,64,111,6,350,0.1108,Thursday,3,October,2025,Night
IG0002,2025-09-08 00:35:00,Video,No caption,#delhi #startup #explorepage,3,3093,3683,117,2,38,49,5,206,0.0666,Monday,0,September,2025,Night
IG0003,2025-12-15 13:21:00,Carousel,Why fitness matters more than you think.,#lifestyle #reels #nature #fitness,4,3596,4614,111,5,25,75,12,216,0.0601,Monday,13,December,2025,Afternoon
IG0004,2024-02-14 23:29:00,Reel,Check out our latest fitness update! What do you think?,#fitness #business #foodie #ootd #art #india #instagood #marketing,8,3093,3502,205,11,81,55,3,352,0.1138,Wednesday,23,February,2024,Night
IG0005,2024-08-26 03:24:00,Carousel,We just launched something new in business. Link in bio!,#technology #art #photography #mumbai,4,2594,3495,89,4,21,67,7,181,0.0698,Monday,3,August,2024,Night
IG0006,2024-03-14 19:40:00,Carousel,No caption,#delhi #explorepage,2,2192,3473,101,5,49,52,12,207,0.0944,Thursday,19,March,2024,Evening
IG0007,2025-07-24 07:43:00,Reel,Behind the scenes of tech — swipe to see more.,#travel #explorepage #instagood #nature #business,5,3344,4132,126,3,37,94,7,260,0.0778,Thursday,7,July,2025,Morning
IG0008,2024-11-18 06:41:00,Image,Why tech matters more than you think.,#business #technology #lifestyle #motivation #delhi #fitness #art,7,2509,2766,101,4,37,59,3,201,0.0801,Monday,6,November,2024,Morning
IG0009,2024-05-21 16:31:00,Reel,5 tips every beginner should know about fitness.,#travel,1,2541,2875,168,4,61,82,18,315,0.124,Tuesday,16,May,2024,Afternoon
IG0010,2024-03-06 12:24:00,Carousel,Big announcement coming soon about tech!,#india #motivation #delhi #fashion #fitness #nature #mumbai,7,5552,8219,183,8,75,118,15,384,0.0692,Wednesday,12,March,2024,Afternoon
IG0011,2024-09-26 16:48:00,Reel,We just launched something new in tech. Link in bio!,#india #fitness,2,2669,3614,200,4,40,99,9,343,0.1285,Thursday,16,September,2024,Afternoon
IG0012,2025-06-27 00:38:00,Reel,Check out our latest travel update! What do you think?,#marketing #fashion #fitness #art #ootd,5,3734,5843,195,8,105,147,12,455,0.1219,Friday,0,June,2025,Night
IG0013,2025-05-12 02:48:00,Image,We just launched something new in art. Link in bio!,#lifestyle #instagood #marketing #photography #motivation #delhi #startup #ootd,8,7742,11984,237,3,47,112,23,399,0.0515,Monday,2,May,2025,Night
IG0014,2025-12-31 09:25:00,Image,Behind the scenes of travel — swipe to see more.,#technology #india #instagood #fitness #explorepage,5,3651,4778,91,1,29,103,11,224,0.0614,Wednesday,9,December,2025,Morning
IG0015,2024-08-13 00:04:00,Carousel,Behind the scenes of travel — swipe to see more.,,0,2709,4296,176,3,37,37,3,253,0.0934,Tuesday,0,August,2024,Night
IG0016,2024-08-31 08:42:00,Reel,We just launched something new in art. Link in bio!,#reels #delhi #lifestyle #marketing #explorepage #business #india,7,6021,6778,494,27,60,66,9,647,0.1075,Saturday,8,August,2024,Morning
IG0017,2025-02-24 14:55:00,Video,Check out our latest fitness update! What do you think?,,0,6107,9043,110,5,57,134,23,306,0.0501,Monday,14,February,2025,Afternoon
IG0018,2024-09-11 06:12:00,Carousel,Behind the scenes of wellness — swipe to see more.,#technology #lifestyle #startup #photography #motivation #explorepage #fitness #travel,8,2639,2956,90,3,7,55,5,155,0.0587,Wednesday,6,September,2024,Morning
IG0019,2024-04-05 07:10:00,Carousel,Check out our latest art update! What do you think?,#marketing #instagood #reels #business #travel #foodie,6,6112,7905,196,3,62,46,10,307,0.0502,Friday,7,April,2024,Morning
IG0020,2025-04-10 09:27:00,Image,Big announcement coming soon about fashion!,#marketing #lifestyle #reels #ootd #delhi #fashion #india #art,8,5695,8591,81,2,36,31,7,150,0.0263,Thursday,9,April,2025,Morning
IG0021,2025-06-27 05:03:00,Image,Check out our latest travel update! What do you think?,#foodie #photography #instagood #delhi #explorepage #reels #travel #ootd,8,1649,2101,78,4,29,39,6,150,0.091,Friday,5,June,2025,Morning
IG0022,2025-06-19 10:59:00,Reel,5 tips every beginner should know about art.,#reels #nature #explorepage #motivation,4,6844,7545,290,10,158,225,21,683,0.0998,Thursday,10,June,2025,Morning
IG0023,2024-03-15 00:29:00,Image,A day in the life: travel edition.,#foodie,1,2408,3547,38,1,33,44,3,116,0.0482,Friday,0,March,2024,Night
IG0024,2024-09-07 11:18:00,Reel,Check out our latest tech update! What do you think?,#technology #delhi,2,3571,5665,156,8,76,139,20,379,0.1061,Saturday,11,September,2024,Morning
IG0025,2024-04-16 04:16:00,Carousel,A day in the life: food edition.,#fitness,1,2099,3067,80,0,35,20,4,135,0.0643,Tuesday,4,April,2024,Night
IG0026,2025-12-04 20:54:00,Video,Why fitness matters more than you think.,#india #marketing #motivation #travel,4,3541,3922,168,5,75,113,24,361,0.1019,Thursday,20,December,2025,Evening
