post_id,post_date,post_type,caption,hashtags,hashtag_count,reach,impressions,likes,comments,shares,saves,follows_gained
IG0001,2025-10-16 03:01:00,Reel,Why fitness matters more than you think.,#explorepage #instagood #lifestyle #fitness,4,3160.0,3722,167,8.0,64,111,6
IG0002,2025-09-08 00:35:00,Video,,#delhi #startup #explorepage,3,3093.0,3683,117,2.0,38,49,5
IG0003,2025-12-15 13:21:00,Carousel,Why fitness matters more than you think.,#lifestyle #reels #nature #fitness,4,3596.0,4614,111,5.0,25,75,12
IG0004,2024-02-14 23:29:00,Reel,Check out our latest fitness update! What do you think?,#fitness #business #foodie #ootd #art #india #instagood #marketing,8,3093.0,3502,205,11.0,81,55,3
IG0005,2024-08-26 03:24:00,Carousel,We just launched something new in business. Link in bio!,#technology #art #photography #mumbai,4,2594.0,3495,89,4.0,21,67,7
IG0006,2024-03-14 19:40:00,Carousel,,#delhi #explorepage,2,2192.0,3473,101,5.0,49,52,12
IG0007,2025-07-24 07:43:00,Reel,Behind the scenes of tech — swipe to see more.,#travel #explorepage #instagood #nature #business,5,3344.0,4132,126,3.0,37,94,7
IG0008,2024-11-18 06:41:00,Image,Why tech matters more than you think.,#business #technology #lifestyle #motivation #delhi #fitness #art,7,2509.0,2766,101,4.0,37,59,3
IG0009,2024-05-21 16:31:00,Reel,5 tips every beginner should know about fitness.,#travel,1,2541.0,2875,168,4.0,61,82,18
IG0010,2024-03-06 12:24:00,Carousel,Big announcement coming soon about tech!,#india #motivation #delhi #fashion #fitness #nature #mumbai,7,5552.0,8219,183,8.0,75,118,15
IG0011,2024-09-26 16:48:00,Reel,We just launched something new in tech. Link in bio!,#india #fitness,2,2669.0,3614,200,4.0,40,99,9
IG0012,2025-06-27 00:38:00,Reel,Check out our latest travel update! What do you think?,#marketing #fashion #fitness #art #ootd,5,3734.0,5843,195,8.0,105,147,12
IG0013,2025-05-12 02:48:00,Image,We just launched something new in art. Link in bio!,#lifestyle #instagood #marketing #photography #motivation #delhi #startup #ootd,8,7742.0,11984,237,3.0,47,112,23
IG0014,2025-12-31 09:25:00,Image,Behind the scenes of travel — swipe to see more.,#technology #india #instagood #fitness #explorepage,5,3651.0,4778,91,1.0,29,103,11
IG0015,2024-08-13 00:04:00,Carousel,Behind the scenes of travel — swipe to see more.,,0,2709.0,4296,176,3.0,37,37,3
IG0016,2024-08-31 08:42:00,Reel,We just launched something new in art. Link in bio!,#reels #delhi #lifestyle #marketing #explorepage #business #india,7,6021.0,6778,494,27.0,60,66,9
IG0017,2025-02-24 14:55:00,Video,Check out our latest fitness update! What do you think?,,0,6107.0,9043,110,5.0,57,134,23
IG0018,2024-09-11 06:12:00,Carousel,Behind the scenes of wellness — swipe to see more.,#technology #lifestyle #startup #photography #motivation #explorepage #fitness #travel,8,2639.0,2956,90,3.0,7,55,5
IG0019,2024-04-05 07:10:00,Carousel,Check out our latest art update! What do you think?,#marketing #instagood #reels #business #travel #foodie,6,6112.0,7905,196,3.0,62,46,10
